screen_name,min,max,mean,sum
harrocyranka,1,1,1,30
sapo83,1,2,1.15,23
WireMonkey,1,1,1,23
veerlevanson,1,1,1,22
htoscano84,1,1,1,18
committedtotape,1,1,1,17
DaveBloom11,1,1,1,17
othomn,1,2,1.0666666666666667,16
parttimeanalyst,1,1,1,16
kigtembu,1,1,1,14
dylanjm_ds,1,1,1,13
HYDNMCDNLD,1,1,1,11
ChuliangXiao,1,1,1,10
IamMRWani,1,3,1.25,10
ysamano28,1,1,1,10
dataacy,1,2,1.125,9
drob,1,1,1,9
jspairani,1,1,1,9
philip_khor,1,2,1.125,9
trevin_flick,1,1,1,9
sbtr11,1,1,1,8
DataVizJohansen,1,1,1,7
EvaMaeRey,1,1,1,7
jakekaupp,1,1,1,7
k_j_norris,1,2,1.1666666666666667,7
keatonwilson,1,1,1,7
kevin_m_kent,1,1,1,7
TheresaWege,1,1,1,7
dsilvadeepal,1,1,1,6
Eeysirhc,1,1,1,6
LizEisenhauer,1,1,1,6
nlj,1,1,1,6
privlko,1,1,1,6
R_by_Ryo,1,1,1,6
rdelgadoCF,1,1,1,6
srini_meen,1,1,1,6
swmpkim,1,1,1,6
T_Bobi,1,1,1,6
thomasflaherty,1,1,1,6
BenYAndrew,1,2,1.25,5
cs_teitelbaum,1,1,1,5
DouglasZickuhr,1,1,1,5
ellis_hughes,1,1,1,5
iamasharkskin,1,2,1.25,5
Joe_Stoica,1,1,1,5
medullaoblon,1,2,1.25,5
nsgrantham,1,1,1,5
RiversStats,1,3,1.6666666666666667,5
robertopreste,1,1,1,5
scrite_jones,1,1,1,5
shohct,1,1,1,5
Umesh_Science,1,1,1,5
Amalan_Con_Stat,1,1,1,4
BryceVMurphy,1,1,1,4
H0Vinicius,1,1,1,4
mjwall_,1,1,1,4
oscar_b123,1,1,1,4
packpridejones,1,1,1,4
pipeflores97,1,1,1,4
ptiongson,4,4,4,4
TannerKoomar,1,1,1,4
webb_dallin,1,1,1,4
data4viz,1,1,1,3
drtimschoof,1,1,1,3
DudaevNikolay,1,1,1,3
fhsperformance,1,2,1.5,3
FrankFarach,1,1,1,3
GeoCorn,1,1,1,3
godoy_lusca,1,1,1,3
guacamolebio,1,1,1,3
jaseziv,1,2,1.5,3
jdbarillas,1,1,1,3
lena2nguyen,1,1,1,3
LensofJens,1,1,1,3
michaelpawlus,1,1,1,3
njbuzz19,1,1,1,3
paternogb,1,1,1,3
pedrowrdiniz,1,1,1,3
sastoudt,1,1,1,3
stevejburr,1,1,1,3
_LouiseRP,1,1,1,2
AidoBo,1,1,1,2
Apollo2a02,1,1,1,2
ArthurCheib,1,1,1,2
brenborbon,1,1,1,2
camhainline,1,1,1,2
Christi58451746,1,1,1,2
cristianquirozd,1,1,1,2
danawanzer,1,1,1,2
davidmasp,1,1,1,2
El_Grund,1,1,1,2
emilykuehler,1,1,1,2
fire_ecologist,1,1,1,2
greens_wgc,2,2,2,2
gtyranny,1,1,1,2
ivelasq3,1,1,1,2
jasonmstevens,1,1,1,2
jblewis49,1,1,1,2
JenRichmondPhD,1,1,1,2
JerrickTram,1,1,1,2
Jessicagreencl2,1,1,1,2
JKlaise,1,1,1,2
joelsamsu,1,1,1,2
jsonbaik,2,2,2,2
kevinwxsoo,1,1,1,2
LandonLehman,1,1,1,2
LittleMissData,2,2,2,2
LUoliviaHAN,1,1,1,2
malinfax,1,1,1,2
markdaku,1,1,1,2
matthwong,1,1,1,2
maxwelco,1,1,1,2
MCulshawMaurer,2,2,2,2
meheszlev,1,1,1,2
mjhendrickson,1,1,1,2
NosyOwl,1,1,1,2
RachelJPearson,1,1,1,2
raviolli77,1,1,1,2
rbmrosenberg,1,1,1,2
SageMurakishi,1,1,1,2
SonGeo,1,1,1,2
_raghuc,1,1,1,1
_RCharlie,1,1,1,1
adababbage,1,1,1,1
AdamGruer,1,1,1,1
alexhallam6_28,1,1,1,1
AllieSherier,1,1,1,1
AmandaRPlunkett,1,1,1,1
andrewsris1,1,1,1,1
andyjupton,1,1,1,1
Anishjoni,1,1,1,1
backerman150,1,1,1,1
birusod,1,1,1,1
brad_weiner,1,1,1,1
brentocarrigan,1,1,1,1
BronAfon,1,1,1,1
bushboard,1,1,1,1
CactusJoshPhD,1,1,1,1
Catnorwexclean2,1,1,1,1
CEV_Weatherford,1,1,1,1
ChasingMicrobes,1,1,1,1
cherrysearch,1,1,1,1
chinook_jargon,1,1,1,1
ClarePeabody,1,1,1,1
cmdevins,1,1,1,1
cornelioid,1,1,1,1
crediblycurious,1,1,1,1
CromarBlake,1,1,1,1
DaisychainCF,1,1,1,1
DAlvearFOX46,1,1,1,1
daoteajing,1,1,1,1
daranzolin,1,1,1,1
datajake,1,1,1,1
dataJSA,1,1,1,1
DELBO,1,1,1,1
Dexterdocherty,1,1,1,1
dpseidel,1,1,1,1
dshkol,1,1,1,1
EBucksJeff,1,1,1,1
elsherbinij,1,1,1,1
emilybartha,1,1,1,1
EMTincopa,1,1,1,1
EsyBeee,1,1,1,1
favstats,1,1,1,1
fhernanb74,1,1,1,1
fmeade,1,1,1,1
Gencia,1,1,1,1
genomiss,1,1,1,1
Gummifot,1,1,1,1
iamnikhiljain,1,1,1,1
initiativeop,1,1,1,1
jay_at_work,1,1,1,1
jc_borders,1,1,1,1
JCMassante,1,1,1,1
JidduAlexander,1,1,1,1
jilly_mackay,1,1,1,1
jrosenblum123,1,1,1,1
jujuhjm,1,1,1,1
jwgayler,1,1,1,1
jyazman2012,1,1,1,1
K4TE_D,1,1,1,1
K8EA,1,1,1,1
katiejolly6,1,1,1,1
kearneymw,1,1,1,1
keradaleen,1,1,1,1
KimmyKy2,1,1,1,1
KosmiKatarina,1,1,1,1
kovacbranko,1,1,1,1
KrisEcoChick,1,1,1,1
krohitm,1,1,1,1
l_kroll,1,1,1,1
LaraOyedele,1,1,1,1
lifebitAI,1,1,1,1
lilscientista,1,1,1,1
LotusFantasy121,1,1,1,1
louisahsmith,1,1,1,1
lponnala,1,1,1,1
m_cadek,1,1,1,1
m2cSwindon,1,1,1,1
MallenderMark,1,1,1,1
marinecdf,1,1,1,1
MatthewNMcMull1,1,1,1,1
mattle24,1,1,1,1
MattOldach,1,1,1,1
MiguelCos,1,1,1,1
msalahx,1,1,1,1
mufan_chia,1,1,1,1
NikolaiGorshkov,1,1,1,1
NoodleGt29,1,1,1,1
NotDanDavis,1,1,1,1
NPTCVS,1,1,1,1
nvcov,1,1,1,1
OliXcl,1,1,1,1
orchid00,1,1,1,1
paleolimbot,1,1,1,1
patternproject,1,1,1,1
paulvanderlaken,1,1,1,1
polesasunder,1,1,1,1
R_Craft_Org,1,1,1,1
rcentrrall,1,1,1,1
reimthyme,1,1,1,1
ReniKaul,1,1,1,1
rgaiacs,1,1,1,1
rkahne,1,1,1,1
roystonpkroyal,1,1,1,1
rtkilian,1,1,1,1
rtse999,1,1,1,1
s_h_saunders,1,1,1,1
samedelstein,1,1,1,1
sanyalh,1,1,1,1
saund_katie,1,1,1,1
SeedsAndBreeds,1,1,1,1
sheehanmurphy,1,1,1,1
silvioaugustojr,1,1,1,1
sobradob,1,1,1,1
SPoese,1,1,1,1
strnr,1,1,1,1
tanyaneuro,1,1,1,1
tdemmer18,1,1,1,1
Teamthemekent,1,1,1,1
TheLengthsman,1,1,1,1
tladeras,1,1,1,1
tomwestlake121,1,1,1,1
translatedmed,1,1,1,1
trianglegirl,1,1,1,1
ttrodrigz,1,1,1,1
veermanhas,1,1,1,1
veevvie,1,1,1,1
WatanabeSmith,1,1,1,1
xvrdm,1,1,1,1
zlipp,1,1,1,1
